sewershed_id,population_served,sample_collect_date,synthetic_viral_load,rolling_mean,rolling_std,z_score,is_anomaly
752,1075656,2020-01-14,1169933.47766,,,,False
752,1075656,2020-01-17,393.19517,,,,False
752,1075656,2020-01-21,367.82206,,,,False
752,1075656,2020-01-24,356.03289,,,,False
752,1075656,2020-01-28,384.99554,234287.10466400004,523042.22343108105,-0.4471954627097525,False
752,1075656,2020-01-31,363.35274,195299.81267666668,477471.0332705186,-0.40826866208284185,False
752,1075656,2020-02-04,342.30819,167448.74060714288,442054.21822626377,-0.37802248124145277,False
752,1075656,2020-02-07,416.8087,146569.74911875,413501.3904108344,-0.353452113603632,False
752,1075656,2020-02-11,400.05752,130328.67227444446,389851.80271648784,-0.3332769371568932,False
752,1075656,2020-02-14,451.43718,117340.94876500001,369843.3168588742,-0.31605143653198153,False
752,1075656,2020-02-18,416.77351,106711.47828727272,352630.8454909495,-0.3014333718574283,False
752,1075656,2020-02-21,383.55268,97850.81782000001,337618.4807567653,-0.28869055071135036,False
752,1075656,2020-02-25,368.70185,90352.19351461538,324373.80766683945,-0.2774067743380698,False
752,1075656,2020-02-26,183017393.51865,13156569.431024285,48890301.54555893,3.474325555741135,True
752,1075656,2020-02-28,432.96162,13073033.679878572,48913351.48703337,-0.2672603761720159,False
752,1075656,2020-03-03,419.16653,13073035.534975713,48913350.95310027,-0.26726069904677285,False
752,1075656,2020-03-06,372.6433,13073035.879350001,48913350.85398236,-0.2672616577644602,False
752,1075656,2020-03-07,1050791.00973,13148066.949124286,48892556.60749248,-0.2474257183258127,False
752,1075656,2020-03-08,1042273.75932,13222487.575108571,48871793.29713049,-0.24922788778662913,False
752,1075656,2020-03-09,1013255.68526,13294837.027431428,48851459.180781,-0.25140664267001495,False
752,1075656,2020-03-10,1037874.58041,13368946.475447142,48830522.04452695,-0.25252795544132917,False
752,1075656,2020-03-11,2042772.34051,13514829.013433572,48790545.40498694,-0.23512868277449098,False
752,1075656,2020-03-12,968787.7151,13583999.56040357,48770594.50613209,-0.25866430321486894,False
752,1075656,2020-03-13,1014840.28998,13656455.907032143,48749610.6781293,-0.25931726307557146,False
752,1075656,2020-03-14,1630258.84275,13772873.197692143,48716425.36598456,-0.24925093053770161,False
752,1075656,2020-03-15,4259425.30685,14077090.465847144,48637038.63345337,-0.20185573453570405,False
752,1075656,2020-03-16,6242035.11996,14522923.781426428,48526559.82134911,-0.17064652206858638,False
752,1075656,2020-03-17,11004795.64351,2236309.6474878574,3054499.613220339,2.870678378242643,False
752,1075656,2020-03-18,25537483.72464,4060384.7019892856,6864925.648597872,3.128526093656573,True
752,1075656,2020-03-22,71479929.68884,9166064.02501143,19168511.681885332,3.250845276773186,True
752,1075656,2020-03-24,27526035.17424,11132182.777221428,19563651.228564963,0.8379750898994686,False
752,1075656,2020-03-25,43294404.6234,14149583.749626428,21087513.577443957,1.3820890152240628,False
752,1075656,2020-03-26,23908448.33271,15782881.93344,20878713.040195856,0.38917946636014394,False
752,1075656,2020-03-29,261051.67865,15729153.075825002,20920570.474422455,-0.7393728300137105,False
752,1075656,2020-03-31,22762104.55846,17280883.78854286,20549437.732414152,0.26673336960802607,False
752,1075656,2020-04-02,45765370.17561,20403926.49105,21361810.764265105,1.1872328598184962,False
752,1075656,2020-04-06,81748446.7265,26173902.13472143,26093882.78939188,2.129792068138348,False
752,1075656,2020-04-08,68000581.66604,30958597.947297145,27241887.541613005,1.3597436544057324,False
752,1075656,2020-04-13,74737772.11347,36180563.18092,28178367.8653475,1.3683265516583003,False
752,1075656,2020-04-15,21606401.98684,37419632.94377643,27024516.532027163,-0.5851438984374033,False
752,1075656,2020-04-16,13779839.17791,37958047.519344285,26423994.33924228,-0.9150095943491489,False
752,1075656,2020-04-21,63172147.60589,41684286.94522857,26005683.12413799,0.8262755705393026,False
752,1075656,2020-04-22,17227439.87393,41090712.38446357,26492854.90842598,-0.9007437134660758,False
752,1075656,2020-04-26,23945472.12065,37695393.98673572,25318566.9369184,-0.5430766243738778,False
752,1075656,2020-04-27,22631670.99076,37345796.54505857,25502905.788066357,-0.5769587856605655,False
752,1075656,2020-05-02,23437189.25092,35927424.01845286,25698062.089923747,-0.4860380025476824,False
752,1075656,2020-05-04,5053992.77529,34580677.19292286,26844847.578018025,-1.0999013621448483,False
752,1075656,2020-05-10,10986654.40206,35346791.67316643,25927443.31011707,-0.9395503050468896,False
752,1075656,2020-05-20,5117088.48185,34086433.38198,26993220.91355119,-1.0732081581856263,False
752,1075656,2020-05-21,86793344.72405,37017002.99258286,30374112.56308706,1.6387751783062512,False
752,1075656,2020-05-22,16514566.36069,32357440.109310716,27885912.853261348,-0.5681317958636538,False
752,1075656,2020-05-23,21027778.6017,29002239.89042929,26031694.13544392,-0.30633662362648606,False
752,1075656,2020-05-24,11234804.29097,24466313.617393572,22778762.67017033,-0.5808704150445689,False
752,1075656,2020-05-25,20228105.21686,24367863.848109283,22795046.69052882,-0.18160781539303986,False
752,1075656,2020-05-26,41482821.92944,26346648.33036143,23006656.709663887,0.6579040922847629,False
752,1075656,2020-05-27,8766582.82103,22460536.560014285,20796627.85011401,-0.6584699133763271,False
752,1075656,2020-05-28,10779326.24404,21999957.01502214,20991925.17547969,-0.5345212826924882,False
752,1075656,2020-05-29,28892071.36612,22353285.532555718,21068679.68933314,0.3103557474878126,False
752,1075656,2020-05-30,19328530.51839,22117346.92738643,21083812.120912164,-0.13227287328321036,False
752,1075656,2020-05-31,19361318.75324,21826213.320409287,21092324.197728593,-0.11686216009493766,False
752,1075656,2020-06-01,25437921.42641,23282208.224060714,20541848.426310204,0.1049425133323556,False
752,1075656,2020-06-02,11229582.6668,23299560.242970712,20530762.8501935,-0.5878971796733288,False
752,1075656,2020-06-03,18864334.43728,24281506.382644285,19913715.40353329,-0.2720322067273853,False
752,1075656,2020-06-04,10608131.40914,18839705.431579284,8857310.232960522,-0.9293536983504654,False
752,1075656,2020-06-05,1419608.26767,17761494.13922071,10006356.589478066,-1.6331504604517704,False
752,1075656,2020-06-06,5083679.70897,16622629.932597144,10501111.441350196,-1.0988313273383856,False
752,1075656,2020-06-07,5742997.87885,16230358.046017144,10815718.215654975,-0.96964066167954,False
752,1075656,2020-06-08,9745010.47448,15481565.564418571,10880345.635490354,-0.5272401523005512,False
752,1075656,2020-06-09,10737481.41724,13285469.813547144,7931855.273799677,-0.321234857212234,False
752,1075656,2020-06-10,11441552.71043,13476539.09136143,7846385.013620718,-0.2593533681305277,False
752,1075656,2020-06-11,9553466.883,13388977.708429998,7885542.0360642085,-0.4863978668667853,False
752,1075656,2020-06-12,9054537.69355,11972011.017532144,6555651.610356769,-0.4450317828624469,False
752,1075656,2020-06-13,2656853.02779,10781176.911060715,6630326.430717417,-1.2253278881763356,False
752,1075656,2020-06-14,3161251.00061,9624029.214444285,6428270.118278421,-1.0053681775844705,False
752,1075656,2020-06-15,10794818.98135,8578093.325511428,4584005.241389969,0.48357834232458524,False
752,1075656,2020-06-16,5665060.56794,8180627.461307144,4577654.834796705,-0.5495317983010094,False
752,1075656,2020-06-17,5651957.88417,7236886.278942143,3421622.651909628,-0.4632095809535234,False
752,1075656,2020-06-18,2853358.37296,6682973.919215,3461347.880854161,-1.1063942943839442,False
752,1075656,2020-06-19,3219974.40878,6811571.500722856,3279421.8988161096,-1.0951921414074364,False
752,1075656,2020-06-20,2656347.69496,6638190.642579286,3438127.0147034065,-1.158143061786443,False
752,1075656,2020-06-21,4829815.75782,6572963.34822,3464974.31492996,-0.5030766268278198,False
752,1075656,2020-06-22,4134268.99482,6172196.099672857,3393606.622341427,-0.6005195450281106,False
752,1075656,2020-06-23,1199984.41276,5490946.313638573,3363823.3515847465,-1.2756204629048187,False
752,1075656,2020-06-24,3959404.81954,4956507.178575001,2909350.287502146,-0.3427233782464447,False
752,1075656,2020-06-25,2625311.79064,4461638.9576921435,2644443.4905043435,-0.6944096834158187,False
752,1075656,2020-06-26,6666375.99097,4291055.978936428,2390185.456583235,0.9937806313276989,False
752,1075656,2020-06-27,892565.76045,4165035.4598407145,2525646.981872691,-1.2956956070575933,False
752,1075656,2020-06-28,5373559.40073,4323057.488420715,2527220.397917171,0.4156748311999479,False
752,1075656,2020-06-29,3627813.21282,3811128.504954286,1708792.3765325288,-0.10727768607340595,False
752,1075656,2020-06-30,2986952.40193,3619835.0645250003,1633531.4658492783,-0.38743218347860986,False
752,1075656,2020-07-01,11323642.27296,4024955.37801,2596016.674149284,2.8114946131236938,False
752,1075656,2020-07-02,5857753.36614,4239555.02038,2615820.2166223265,0.6186198636577157,False
