date,location_id,population_served,baseline_rate,synthetic_admissions
2020-01-01,SYNTH_REGION_1,100000,0.25144284369759506,43
2020-01-02,SYNTH_REGION_1,100000,0.29777527152370553,27
2020-01-03,SYNTH_REGION_1,100000,0.28852273010249463,32
2020-01-04,SYNTH_REGION_1,100000,0.1976935733825138,18
2020-01-05,SYNTH_REGION_1,100000,0.19137049164252662,14
2020-01-06,SYNTH_REGION_1,100000,0.2783598177535549,17
2020-01-07,SYNTH_REGION_1,100000,0.3312353337408923,29
2020-01-08,SYNTH_REGION_1,100000,0.32582893089611314,27
2020-01-09,SYNTH_REGION_1,100000,0.4019860025363733,42
2020-01-10,SYNTH_REGION_1,100000,0.358894722813938,27
2020-01-11,SYNTH_REGION_1,100000,0.36189178826423896,32
2020-01-12,SYNTH_REGION_1,100000,0.3004656925849277,34
2020-01-13,SYNTH_REGION_1,100000,0.2872726256879096,25
2020-01-14,SYNTH_REGION_1,100000,0.4209424193942559,48
2020-01-15,SYNTH_REGION_1,100000,0.3516239044587177,36
2020-01-16,SYNTH_REGION_1,100000,0.39057600584907787,47
2020-01-17,SYNTH_REGION_1,100000,0.28035714230651254,27
2020-01-18,SYNTH_REGION_1,100000,0.32490360331802987,38
2020-01-19,SYNTH_REGION_1,100000,0.2781038957768733,29
2020-01-20,SYNTH_REGION_1,100000,0.2982478844342006,27
2020-01-21,SYNTH_REGION_1,100000,0.37505696445484726,41
2020-01-22,SYNTH_REGION_1,100000,0.2473234829052245,34
2020-01-23,SYNTH_REGION_1,100000,0.28476708233588005,27
2020-01-24,SYNTH_REGION_1,100000,0.3085590195638778,29
2020-01-25,SYNTH_REGION_1,100000,0.2547442725980952,27
2020-01-26,SYNTH_REGION_1,100000,0.2623855120176822,19
2020-01-27,SYNTH_REGION_1,100000,0.2499174194175394,31
2020-01-28,SYNTH_REGION_1,100000,0.26725947764222724,16
2020-01-29,SYNTH_REGION_1,100000,0.2096240262046335,16
2020-01-30,SYNTH_REGION_1,100000,0.22929230349048915,17
2020-01-31,SYNTH_REGION_1,100000,0.20284095977417682,22
2020-02-01,SYNTH_REGION_1,100000,0.20554919331695048,18
2020-02-02,SYNTH_REGION_1,100000,0.18006041578085086,15
2020-02-03,SYNTH_REGION_1,100000,0.23653165360365444,14
2020-02-04,SYNTH_REGION_1,100000,0.10580570006527948,9
2020-02-05,SYNTH_REGION_1,100000,0.18495935828081184,23
2020-02-06,SYNTH_REGION_1,100000,0.09170159083400832,7
2020-02-07,SYNTH_REGION_1,100000,0.0517341003965806,3
2020-02-08,SYNTH_REGION_1,100000,0.1490879996468144,12
2020-02-09,SYNTH_REGION_1,100000,0.0566721556430901,8
2020-02-10,SYNTH_REGION_1,100000,0.05071439584593079,4
2020-02-11,SYNTH_REGION_1,100000,0.01,1
2020-02-12,SYNTH_REGION_1,100000,0.01,0
2020-02-13,SYNTH_REGION_1,100000,0.08499290696213008,7
2020-02-14,SYNTH_REGION_1,100000,0.01,1
2020-02-15,SYNTH_REGION_1,100000,0.08891364949794162,6
2020-02-16,SYNTH_REGION_1,100000,0.14323008046081237,22
2020-02-17,SYNTH_REGION_1,100000,0.047537962597421816,5
2020-02-18,SYNTH_REGION_1,100000,0.01,1
2020-02-19,SYNTH_REGION_1,100000,0.0826781400541175,6
2020-02-20,SYNTH_REGION_1,100000,0.10818261295504253,17
2020-02-21,SYNTH_REGION_1,100000,0.06555793190597099,4
2020-02-22,SYNTH_REGION_1,100000,0.08940150072014784,11
2020-02-23,SYNTH_REGION_1,100000,0.1663939454836094,14
2020-02-24,SYNTH_REGION_1,100000,0.1751048110857105,11
2020-02-25,SYNTH_REGION_1,100000,0.16049891140780345,14
2020-02-26,SYNTH_REGION_1,100000,0.09566945967990634,5
2020-02-27,SYNTH_REGION_1,100000,0.15096367228919455,17
2020-02-28,SYNTH_REGION_1,100000,0.19895911224923965,21
2020-02-29,SYNTH_REGION_1,100000,0.17372743708256522,24
2020-03-01,SYNTH_REGION_1,100000,0.16949910355060457,41
2020-03-02,SYNTH_REGION_1,100000,0.17740983347993863,50
2020-03-03,SYNTH_REGION_1,100000,0.19958631265846127,68
2020-03-04,SYNTH_REGION_1,100000,0.21277230973839215,66
2020-03-05,SYNTH_REGION_1,100000,0.23845492713105948,71
2020-03-06,SYNTH_REGION_1,100000,0.33228386169457824,99
2020-03-07,SYNTH_REGION_1,100000,0.24813568877788705,66
2020-03-08,SYNTH_REGION_1,100000,0.3447146945096755,109
2020-03-09,SYNTH_REGION_1,100000,0.3323509568713079,89
2020-03-10,SYNTH_REGION_1,100000,0.3283400334009186,103
2020-03-11,SYNTH_REGION_1,100000,0.2885337178166282,91
2020-03-12,SYNTH_REGION_1,100000,0.3141971080000989,82
2020-03-13,SYNTH_REGION_1,100000,0.44133624446073844,104
2020-03-14,SYNTH_REGION_1,100000,0.35167553568749277,101
2020-03-15,SYNTH_REGION_1,100000,0.3760886716672748,112
2020-03-16,SYNTH_REGION_1,100000,0.3831515816364027,114
2020-03-17,SYNTH_REGION_1,100000,0.4019603614957612,130
2020-03-18,SYNTH_REGION_1,100000,0.3348463219334292,106
2020-03-19,SYNTH_REGION_1,100000,0.3121485988434993,85
2020-03-20,SYNTH_REGION_1,100000,0.334051119926797,100
2020-03-21,SYNTH_REGION_1,100000,0.31686284136281473,110
2020-03-22,SYNTH_REGION_1,100000,0.3608863849636889,109
2020-03-23,SYNTH_REGION_1,100000,0.32095224397545624,101
2020-03-24,SYNTH_REGION_1,100000,0.31233311367536226,103
2020-03-25,SYNTH_REGION_1,100000,0.2954182603672543,92
2020-03-26,SYNTH_REGION_1,100000,0.336418384028622,100
2020-03-27,SYNTH_REGION_1,100000,0.23387913742763083,86
2020-03-28,SYNTH_REGION_1,100000,0.2224347430393721,69
2020-03-29,SYNTH_REGION_1,100000,0.2754432934342997,84
2020-03-30,SYNTH_REGION_1,100000,0.21035876398766007,52
2020-03-31,SYNTH_REGION_1,100000,0.2180439042673325,21
2020-04-01,SYNTH_REGION_1,100000,0.14787131397223088,8
2020-04-02,SYNTH_REGION_1,100000,0.169979801753195,17
2020-04-03,SYNTH_REGION_1,100000,0.17523914226411302,20
2020-04-04,SYNTH_REGION_1,100000,0.07261767325299279,6
2020-04-05,SYNTH_REGION_1,100000,0.09025329657924028,12
2020-04-06,SYNTH_REGION_1,100000,0.13298534056459657,19
2020-04-07,SYNTH_REGION_1,100000,0.21207081280146656,16
2020-04-08,SYNTH_REGION_1,100000,0.11164257627842375,14
2020-04-09,SYNTH_REGION_1,100000,0.07570147166115833,5
2020-04-10,SYNTH_REGION_1,100000,0.027835628236053477,3
2020-04-11,SYNTH_REGION_1,100000,0.08254947814559961,6
2020-04-12,SYNTH_REGION_1,100000,0.01,0
2020-04-13,SYNTH_REGION_1,100000,0.050801394739735925,5
