date,location_id,synthetic_env
2020-01-14,California,20.60943415950886
2020-01-15,California,20.265526234923097
2020-01-16,California,24.425686128158386
2020-01-17,California,23.1827806501351
2020-01-18,California,14.796278405339653
2020-01-19,California,14.470857249729892
2020-01-20,California,17.91018635893048
2020-01-21,California,19.367514815312834
2020-01-22,California,22.31189213239551
2020-01-23,California,21.21869588139831
2020-01-24,California,23.06044716707833
2020-01-25,California,20.25393265350523
2020-01-26,California,17.20727765857696
2020-01-27,California,19.90898796653198
2020-01-28,California,20.93501868450409
2020-01-29,California,20.62690952163761
2020-01-30,California,23.66228530471047
2020-01-31,California,19.383886015694674
2020-02-01,California,20.455249385261872
2020-02-02,California,16.97536444148202
2020-02-03,California,17.28478082550539
2020-02-04,California,18.638140911192114
2020-02-05,California,24.790577124752144
2020-02-06,California,22.615724772407866
2020-02-07,California,20.444995573026464
2020-02-08,California,17.99408168167087
2020-02-09,California,18.139834634561225
2020-02-10,California,18.385393681324064
2020-02-11,California,20.825465223191973
2020-02-12,California,23.20713645341985
2020-02-13,California,27.2080789382864
2020-02-14,California,20.488821184583447
2020-02-15,California,17.673863324504254
2020-02-16,California,15.447670806958772
2020-02-17,California,18.886464397746906
2020-02-18,California,22.25794458544178
2020-02-19,California,22.117599532094335
2020-02-20,California,21.244470782620414
2020-02-21,California,19.6526887859702
2020-02-22,California,19.99953435829673
2020-02-23,California,18.561724605861414
2020-02-24,California,18.740814089206296
2020-02-25,California,18.66898058542261
2020-02-26,California,22.809817093537525
2020-02-27,California,23.158155354826935
2020-02-28,California,21.739028410810704
2020-02-29,California,20.441206338543708
2020-03-01,California,17.522407361003893
2020-03-02,California,19.012332678739696
2020-03-03,California,20.13515813897778
2020-03-04,California,22.923733244784053
2020-03-05,California,24.187360188222552
2020-03-06,California,18.387339577641328
2020-03-07,California,18.059006349932726
2020-03-08,California,16.134470954868938
2020-03-09,California,16.376749856109225
2020-03-10,California,19.449715497546624
2020-03-11,California,25.335377069872877
2020-03-12,California,21.193121505158985
2020-03-13,California,23.238207926535644
2020-03-14,California,38.33152309853936
2020-03-15,California,41.013615508707446
2020-03-16,California,44.9500292070148
2020-03-17,California,52.931111656796375
2020-03-18,California,59.41986901747449
2020-03-19,California,61.27869551736331
2020-03-20,California,51.51050268213951
2020-03-21,California,44.4341129932955
2020-03-22,California,46.97792006492208
2020-03-23,California,43.17974225708169
2020-03-24,California,43.621568383310375
2020-03-25,California,50.19730004849281
2020-03-26,California,52.71469791135562
2020-03-27,California,55.73993176365057
2020-03-28,California,18.983200254788464
2020-03-29,California,18.45618697159007
2020-03-30,California,16.80000025992284
2020-03-31,California,20.31707938215344
2020-04-01,California,23.596675235338758
2020-04-02,California,22.306090657104992
2020-04-03,California,22.215201692467502
2020-04-04,California,17.37449690051405
2020-04-05,California,16.34910857032439
2020-04-06,California,16.89102976459926
2020-04-07,California,17.608320708821914
2020-04-08,California,23.31943940897526
2020-04-09,California,21.985979056140025
2020-04-10,California,21.326639454808078
2020-04-11,California,19.65984210045919
2020-04-12,California,17.968278615514414
2020-04-13,California,18.985275770541477
2020-04-14,California,19.803029030981122
2020-04-15,California,21.498897823315776
2020-04-16,California,22.76534731473268
2020-04-17,California,17.926982349436624
2020-04-18,California,15.804123837801141
2020-04-19,California,14.429817038745728
2020-04-20,California,15.660011897392929
2020-04-21,California,20.799548453446864
2020-04-22,California,20.534536336683974
2020-04-23,California,22.16845862846669
2020-04-24,California,23.900107812924794
2020-04-25,California,17.985820840524486
2020-04-26,California,18.55024740038871
2020-04-27,California,15.787270192576175
2020-04-28,California,19.589124884264752
2020-04-29,California,20.44545033758292
2020-04-30,California,22.246717584744353
2020-05-01,California,22.982267492267475
2020-05-02,California,15.243707936262657
2020-05-03,California,17.944063550546247
2020-05-04,California,18.129976757260472
2020-05-05,California,18.8117000886064
2020-05-06,California,19.45337873862716
2020-05-07,California,23.069042751973214
