date,synthetic_viral_load,ww_z,synthetic_admissions,hosp_z,synthetic_env,env_z,fused_risk,is_alert
2020-01-14,24.84703637507496,-0.46132289859953424,48,1.8491233280470587,20.60943415950886,,,False
2020-01-15,34.919625392767884,-0.3474452339478094,36,0.7323469505713626,20.265526234923097,,,False
2020-01-16,176.05946866783634,-0.2680846566206948,47,1.5689125849804095,24.425686128158382,,,False
2020-01-17,94.056999677505,-0.5732334808294216,27,-0.30600428220681025,23.1827806501351,,,False
2020-01-18,562.6410723832755,-0.0030254524397618494,38,0.6315466430869174,14.796278405339653,,,False
2020-01-19,102.7069588124044,-0.49303517704892647,29,-0.4241607922436728,14.470857249729892,,,False
2020-01-20,50.91647728857885,-0.5273094123186169,27,-0.8323677600731929,17.91018635893048,,,False
2020-01-21,2792.772244567604,3.142963797599598,41,0.8543825236365004,19.36751481531283,,,False
2020-01-22,250.0220314520959,-0.24246295517488609,34,-0.1036962327460607,22.31189213239551,,,False
2020-01-23,376.0324286815116,-0.08547956327621357,27,-0.8906175646414718,21.21869588139831,,,False
2020-01-24,47.14404747453962,-0.4726467508741185,29,-0.654610112793779,23.06044716707833,,,False
2020-01-25,195.4161834006132,-0.2658706702450854,27,-0.8515177674310881,20.25393265350523,,,False
2020-01-26,486.37189534805486,0.11207117833542574,19,-1.569688205957178,17.20727765857696,,,False
2020-01-27,84.01931980706753,-0.4090416241815899,31,-0.22373412923216743,19.90898796653198,-0.006289281546372351,-0.25436815767477744,False
2020-01-28,703.0319598651388,0.38904628996322804,16,-1.773649994350861,20.93501868450409,0.3278207869831402,-0.4882773243584252,False
2020-01-29,173.44033914159323,-0.3695676990266156,16,-1.4753047525273701,20.62690952163761,0.2162460140262172,-0.6946997778163508,False
2020-01-30,266.59304476842306,-0.24798863932313078,17,-1.2779537664351275,23.66228530471047,1.2786744609561882,-0.35464207011206567,False
2020-01-31,173.18280012509666,-0.3896841712819994,22,-0.58486850934609,19.38388601569467,-0.09639079913165134,-0.40909923207756604,False
2020-02-01,5942.21904381048,3.1347375112138067,18,-0.958563222552554,20.455249385261872,0.1669549167820095,0.903860698820903,False
2020-02-02,443.03782715075306,-0.2547523730542179,15,-1.1656276720148424,16.97536444148202,-1.6218564033417098,-0.8925232986959661,False
2020-02-03,103.61232118480429,-0.4670180237946818,14,-1.1179576628849932,17.28478082550539,-1.4025950339110413,-0.9145092814540783,False
2020-02-04,1417.9794272047156,0.42839225361727257,9,-1.6192123824550622,18.638140911192114,-0.713184899551637,-0.6189650314454432,False
2020-02-05,76.23095395267964,-0.4377090244465701,23,0.4320836163687782,24.790577124752144,1.87700266856177,0.3731503704812373,False
2020-02-06,557.3379181076541,-0.13342496124348044,7,-1.6792542479021102,22.615724772407862,0.897221714589595,-0.5456273407403173,False
2020-02-07,27.267836936494675,-0.4776481083052098,3,-1.8499737003028993,20.444995573026464,0.09326817953211304,-0.912395087536821,False
2020-02-08,60.42102933407081,-0.44853840958334923,12,-0.5481391558217215,17.99408168167087,-0.8602843720573382,-0.570727900573496,False
2020-02-09,504.41774036095416,-0.16104136683354314,8,-0.9727988418547807,18.139834634561225,-0.8534221486600351,-0.6242205132073366,False
2020-02-10,1071.7369407183587,0.16273614151559077,4,-1.4687959831309383,18.385393681324064,-0.6880157343928728,-0.6600270835247135,False
2020-02-11,486.83824668982186,-0.2093435356670111,1,-1.5942862749139526,20.825465223191973,0.34040770224968947,-0.6533703837824477,False
2020-02-12,313.8974837507256,-0.32968059545623035,0,-1.449552140679303,23.20713645341985,1.1910203875136358,-0.47348901695148615,False
2020-02-13,120373866.99547656,3.4743961409873774,7,-0.4348282767393359,27.2080789382864,2.2317132266278863,1.662169791024794,False
2020-02-14,23388688.06168841,0.40620091227118654,1,-1.1126972805283726,20.488821184583447,-0.014474399599295047,-0.2854934272227334,False
2020-02-15,159.01566791822415,-0.31795097124550764,6,-0.2893012929373768,17.673863324504254,-0.8561735805591482,-0.4141356217849834,False
2020-02-16,228.07648434210904,-0.3179483058001237,22,1.8846692045172047,15.447670806958772,-1.4667022355498205,0.33334791237686834,False
2020-02-17,1884.8620128137889,-0.31790137608024116,5,-0.3824317603949273,18.886464397746906,-0.45782029179924894,-0.37169731294991726,False
2020-02-18,698.3957262009882,-0.31793634719659575,1,-0.8409143674628862,22.25794458544178,0.5236138312019456,-0.3588175196234037,False
2020-02-19,36.05477182438729,-0.31795675628875475,6,0.012523050380850257,22.117599532094335,0.5754166113465251,-0.007090160093856768,False
2020-02-20,658.0122425761649,-0.31793774592549107,17,1.6111570136742226,21.244470782620414,0.3207876828237754,0.5814452436642477,False
2020-02-21,245.28856091362425,-0.31795105948095,4,-0.42475490666931465,19.6526887859702,-0.2051448269528883,-0.33811135185068353,False
2020-02-22,145.28546914956868,-0.31795436392987997,11,0.6881218055376858,19.99953435829673,-0.13883485384823194,0.1203000058734759,False
2020-02-23,2461267.464077716,-0.2476048747688886,14,1.0455010807620955,18.561724605861414,-0.65916260770791,0.18732596085570077,False
2020-02-24,4375480.364382969,-0.19846960344905537,11,0.5162323469161556,18.740814089206296,-0.6087182649471542,0.005361444397409237,False
2020-02-25,3702554.777769956,-0.22818881345562547,14,0.8383672799896728,18.66898058542261,-0.5719731132778978,0.12967676395803937,False
2020-02-26,322847.05879154813,-0.3343612952296439,5,-0.6233720803284732,22.809817093537525,0.9022704912483053,-0.2026392519735858,False
2020-02-27,1328494.1729664193,-0.19613528130142738,17,1.1385344905595398,23.158155354826935,1.4538630818796263,0.6677323000791703,False
2020-02-28,1536082.79371687,0.36755703082913316,21,1.4945490878338579,21.739028410810704,0.7477823713196862,0.8943989217291337,False
2020-02-29,3943936.894428308,1.6028951331216807,24,1.5931400560199465,20.441206338543708,0.08235532990987258,1.2948851416386253,False
2020-03-01,836924.9125508551,-0.29611266406492487,41,2.6294341361280447,17.522407361003893,-1.594928160286999,0.6143429567678482,False
2020-03-02,3289692.617009302,1.0372244378165858,50,2.3853355439096555,19.012332678739696,-0.7815697482144157,1.2127100430476134,False
2020-03-03,1338925.0319073256,-0.19465312536469662,68,2.4770187406414537,20.13515813897778,-0.07907501265457381,0.8971312435797881,False
2020-03-04,2083059.3552018905,0.1826100931752913,66,1.8622882666818357,22.923733244784053,1.4375160350826133,1.1054625509593734,False
2020-03-05,79103566.79392304,3.4658114488809515,71,1.686640961564106,24.187360188222552,1.7611429256515427,2.4132095493083314,False
2020-03-06,168565355.9628928,3.1331770644587422,99,2.1227834375747006,18.387339577641328,-0.9636874850357098,1.9096467038062352,False
